strategy,source,fair_same_substrate,content,network,users,seed,key,U,Rq,Ro,Rb,decoded_completion,B_shared,B_unicast,stall_last,p99_delay_ms,p99_delay_in_contract,duration_s,metric_code
Clustering,FROZEN_LIVE_COMMAND153,True,redandblack,wifi,60,153,c148dev_redandblack_wifi_u60_CLUSTERING_COMPONENT_s153,0.6957775938062075,0.7741665251249614,0.9820017761788714,0.09481843542324836,0.9666666666666667,358594627,19923889744,0.0,,False,120,command148_canary_metrics.cell_metrics
MD2G-Cast,FROZEN_LIVE_COMMAND153,True,redandblack,wifi,100,151,c148dev_redandblack_wifi_u100_MD2G_COMPONENT_s151,0.7723822580225613,0.8962499783494426,0.9896729613579205,0.08523979551056218,0.918,274501581,26580861224,1.0320705628395082,,False,120,command148_canary_metrics.cell_metrics
Heuristic,FROZEN_LIVE_COMMAND153,True,redandblack,wifi,100,151,c148dev_redandblack_wifi_u100_HV3_COMPONENT_s151,0.4950545679856075,0.4239999861603389,0.9887819602832482,0.04360609187605294,0.7688679245283019,162513768,14486824089,2.042387375831604,,False,120,command148_canary_metrics.cell_metrics
Clustering,FROZEN_LIVE_COMMAND153,True,redandblack,wifi,100,151,c148dev_redandblack_wifi_u100_CLUSTERING_COMPONENT_s151,0.6605449838384854,0.711999985535441,0.9897287652793546,0.09391465868411886,0.8257142857142857,257476798,25067755241,0.0,,False,120,command148_canary_metrics.cell_metrics
MD2G-Cast,FROZEN_LIVE_COMMAND153,True,redandblack,wifi,100,152,c148dev_redandblack_wifi_u100_MD2G_COMPONENT_s152,0.7802195490255264,0.9112499541437216,0.9895913282874071,0.09285503688372274,0.914,214138332,20573070024,0.0,,False,120,command148_canary_metrics.cell_metrics
Heuristic,FROZEN_LIVE_COMMAND153,True,redandblack,wifi,100,152,c148dev_redandblack_wifi_u100_HV3_COMPONENT_s152,0.4897719477630452,0.4149999871865354,0.9890881519003287,0.043333883493054434,0.7348837209302326,134781263,12351827277,1.0213541913032531,,False,120,command148_canary_metrics.cell_metrics
Clustering,FROZEN_LIVE_COMMAND153,True,redandblack,wifi,100,152,c148dev_redandblack_wifi_u100_CLUSTERING_COMPONENT_s152,0.6481510984140857,0.6912499832314375,0.9895197809994339,0.09319224516423506,0.8666666666666667,161408573,15401259553,0.0,,False,120,command148_canary_metrics.cell_metrics
MD2G-Cast,FROZEN_LIVE_COMMAND153,True,redandblack,wifi,100,153,c148dev_redandblack_wifi_u100_MD2G_COMPONENT_s153,0.7619141724566124,0.8809999690941845,0.9895845315235491,0.09387961253856969,0.906,250857510,24085091378,0.0,,False,120,command148_canary_metrics.cell_metrics
Heuristic,FROZEN_LIVE_COMMAND153,True,redandblack,wifi,100,153,c148dev_redandblack_wifi_u100_HV3_COMPONENT_s153,0.5062895246359915,0.44249998716281785,0.989355669629253,0.043662567126749645,0.5733333333333334,373199814,35060901062,1.021007673740387,,False,120,command148_canary_metrics.cell_metrics
Clustering,FROZEN_LIVE_COMMAND153,True,redandblack,wifi,100,153,c148dev_redandblack_wifi_u100_CLUSTERING_COMPONENT_s153,0.638494504153555,0.6757499894251161,0.9894553340854759,0.09546215348589127,0.8,221977227,21051138917,0.0,,False,120,command148_canary_metrics.cell_metrics
