timestamp,headQuat,headEuler,headForw,headLatLon,headTilt,headUV
0.9462709,"(-0.16187450,0.3718186,-0.04200512, -0.91311730)","(19.07814000,315.2429, 357.35180000)","(-0.66542880,-0.3268574, 0.67109510)","(-19.07815000, -44.75709000)",-2.502489,"(0.38030300, 0.60343530)"
0.961532,"(-0.16393650,0.3778311,-0.04254203, -0.91025200)","(19.30486000,314.4352, 357.17990000)","(-0.67389460,-0.3305945, 0.66073690)","(-19.30486000, -45.56485000)",-2.661387,"(0.37780330, 0.60465290)"
0.9784875,"(-0.16594980,0.3838396,-0.04309918, -0.90734240)","(19.52589000,313.6248, 357.00860000)","(-0.68224340,-0.3342329, 0.65025560)","(-19.52590000, -46.37517000)",-2.819251,"(0.37528850, 0.60584640)"
0.9866585,"(-0.16784920,0.3895997,-0.04375655, -0.90450210)","(19.73894000,312.8464, 356.85540000)","(-0.69009840,-0.3377351, 0.64007750)","(-19.73894000, -47.15358000)",-2.959558,"(0.37290460, 0.60703210)"
0.999465,"(-0.16957410,0.3952932,-0.04445644, -0.90167150)","(19.93457000,312.077, 356.71360000)","(-0.69777200,-0.3409469, 0.62997580)","(-19.93457000, -47.92305000)",-3.089335,"(0.37051150, 0.60809460)"
1.012634,"(-0.17131320,0.4009278,-0.04524215, -0.89881130)","(20.13506000,311.3124, 356.57810000)","(-0.70521570,-0.3442342, 0.61981740)","(-20.13505000, -48.68761000)",-3.2126,"(0.36816450, 0.60918400)"
1.026175,"(-0.17301540,0.4065195,-0.04578266, -0.89594170)","(20.31899000,310.5466, 356.41540000)","(-0.71259330,-0.3472465, 0.60961510)","(-20.31899000, -49.45340000)",-3.36121,"(0.36582960, 0.61019620)"
1.040052,"(-0.17460480,0.4118163,-0.04611199, -0.89319320)","(20.48065000,309.8153, 356.23970000)","(-0.71956030,-0.349891, 0.59984110)","(-20.48065000, -50.18468000)",-3.5222,"(0.36350110, 0.61102820)"
1.053088,"(-0.17606760,0.4168323,-0.04635298, -0.89056300)","(20.62447000,309.1194, 356.06530000)","(-0.72610840,-0.3522413, 0.59050200)","(-20.62447000, -50.88053000)",-3.682116,"(0.36128520, 0.61179260)"
1.065697,"(-0.17749760,0.4217764,-0.04668963, -0.88792980)","(20.76869000,308.4323, 355.90230000)","(-0.73244110,-0.354596, 0.58119850)","(-20.76869000, -51.56769000)",-3.831088,"(0.35911910, 0.61258950)"
1.07979,"(-0.17889540,0.4264579,-0.04702483, -0.88539180)","(20.90953000,307.778, 355.74480000)","(-0.73833970,-0.3568933, 0.57226010)","(-20.90953000, -52.22205000)",-3.974438,"(0.35705330, 0.61332230)"
1.093054,"(-0.18014810,0.4309787,-0.04766576, -0.88291110)","(21.05079000,307.1505, 355.63010000)","(-0.74385800,-0.3591954, 0.56360810)","(-21.05079000, -52.84943000)",-4.077799,"(0.35512550, 0.61406840)"
1.106137,"(-0.18142470,0.4352204,-0.0482989, -0.88053140)","(21.19490000,306.5573, 355.51790000)","(-0.74892510,-0.3615416, 0.55533670)","(-21.19490000, -53.44263000)",-4.178421,"(0.35330360, 0.61485280)"
1.119933,"(-0.18257530,0.4392717,-0.04895436, -0.87824270)","(21.32756000,305.991, 355.41810000)","(-0.75369850,-0.3636993, 0.54741330)","(-21.32756000, -54.00899000)",-4.267465,"(0.35158250, 0.61559490)"
