block,content,network,users,seed,MD2G_U,MD2G_Rq,MD2G_Ro,MD2G_Rb,MD2G_weak_user_Rq,strongest_same,strongest_same_U,delta_U,unicast_U
longdress_wifi_dominant_u100_s152,longdress,wifi_dominant,100,152,0.7704970200553642,0.8929999717885766,0.9894524571149781,0.08444051531017421,0.4249997507446209,RULE_COMPONENT,0.6506152499538368,0.11988177010152745,0.12309782096244096
longdress_wifi_dominant_u100_s153,longdress,wifi_dominant,100,153,0.7594590267938762,0.8744999932994454,0.9894313423295673,0.08399203178788524,0.0,CLUSTERING_COMPONENT,0.6642071860875814,0.09525184070629478,0.11106388225100591
longdress_wifi_dominant_u20_s151,longdress,wifi_dominant,20,151,0.4666953635475226,0.39999997673750326,0.9393941553428671,0.05435440887130741,0.0,CLUSTERING_COMPONENT,0.631498170723845,-0.16480280717632234,0.3521620234028362
longdress_wifi_dominant_u20_s152,longdress,wifi_dominant,20,152,0.48249048162401487,0.4249999748093891,0.9428601940333281,0.054830345133004076,0.0,RULE_COMPONENT,0.597671691250188,-0.11518120962617318,0.3590608179315925
longdress_wifi_dominant_u20_s153,longdress,wifi_dominant,20,153,0.49177946470679873,0.4399999751699865,0.9436976020081063,0.05429947264813158,0.3000000072119473,RULE_COMPONENT,0.6286765500044526,-0.13689708529765382,0.3506442489577188
longdress_wifi_dominant_u60_s151,longdress,wifi_dominant,60,151,0.7631947752075028,0.890833326766714,0.982713721803545,0.11322434202274526,0.3000000072119473,CLUSTERING_COMPONENT,0.678843745843123,0.08435102936437977,0.13034509698913188
longdress_wifi_dominant_u60_s152,longdress,wifi_dominant,60,152,0.763226147179731,0.8929166579190373,0.9825141848761225,0.12101595860481287,0.3000000072119473,CLUSTERING_COMPONENT,0.6625744314147739,0.10065171576495713,0.12292257439606058
longdress_wifi_dominant_u60_s153,longdress,wifi_dominant,60,153,0.7473514678802905,0.861666649457691,0.9823452938757724,0.10156563508844821,0.0,CLUSTERING_COMPONENT,0.6770261868012488,0.07032528107904168,0.1471918961599447
longdress_wifi_u100_s151,longdress,wifi,100,151,0.7654981631682027,0.8824999808241603,0.9895511593907018,0.07593076782645827,0.0,CLUSTERING_COMPONENT,0.646981444383289,0.11851671878491377,0.10752219686367913
longdress_wifi_u100_s152,longdress,wifi,100,152,0.7538102066565974,0.8629999866651248,0.9893805237242401,0.07556610849025051,0.3000000072119473,CLUSTERING_COMPONENT,0.6536276438407749,0.1001825628158225,0.10438203472206652
longdress_wifi_u100_s153,longdress,wifi,100,153,0.7630874443211606,0.8792499664808228,0.9896068244800237,0.07909494458225921,0.4249997507446209,CLUSTERING_COMPONENT,0.6496168841903871,0.1134705601307735,0.15089666577494693
longdress_wifi_u20_s151,longdress,wifi,20,151,0.5077127564354403,0.46499996565454316,0.9473684210526316,0.054195521469623156,0.0,RULE_COMPONENT,0.7236533511893287,-0.21594059475388838,0.2888722485787242
