strategy,source,content,network,users,seed,U_Rb0,U,Rq,Ro,Rb_matched_live_md2g,decoded_completion,bandwidth_mbps_shared,p99_delay_ms,n_ticks
MoQ Unicast,FROZEN_LIVE_COMMAND153,redandblack,wifi,20,152,0.41324995163026296,0.3606948870881049,0.6887499193837716,0.0,0.3503670969477206,0.6887499193837716,830.5761126,,
MD2G-Cast,FROZEN_LIVE_COMMAND153,redandblack,wifi,20,153,0.5374999879869422,0.5308482754601783,0.49999997997823714,0.95,0.044344750178425804,0.49999997997823714,53.320147133333336,,
Heuristic,FROZEN_LIVE_COMMAND153,redandblack,wifi,20,153,0.6324580459473386,0.6212220124567682,0.6599999932227635,0.9458322000547218,0.0749068899371356,0.6599999932227635,54.35597573333333,,
Clustering,FROZEN_LIVE_COMMAND153,redandblack,wifi,20,153,0.6470520969078329,0.6329872902705703,0.6862499207670478,0.9412085777904172,0.0937653775817508,0.6862499207670478,81.7155256,,
MoQ Unicast,FROZEN_LIVE_COMMAND153,redandblack,wifi,20,153,0.4049999931006974,0.33451751918224537,0.6749999885011624,0.0,0.4698831594563467,0.6749999885011624,472.4198088,,
MD2G-Cast,FROZEN_LIVE_COMMAND153,redandblack,wifi,60,151,0.75331925345887,0.7398860425209809,0.8462499932312052,0.9822770300805879,0.08955473958592684,0.8462499932312052,19.047536666666666,,
Heuristic,FROZEN_LIVE_COMMAND153,redandblack,wifi,60,151,0.5785650499760091,0.5720751594656402,0.5549999861224891,0.9822602332100626,0.0432659367357922,0.5549999861224891,24.843847266666668,,
Clustering,FROZEN_LIVE_COMMAND153,redandblack,wifi,60,151,0.7141749752340472,0.6998574415334978,0.7808331814440568,0.9827002654704524,0.09545022467032914,0.7808331814440568,22.80205,,
MoQ Unicast,FROZEN_LIVE_COMMAND153,redandblack,wifi,60,151,0.21699999144423873,0.14597803692015898,0.3616666524070646,0.0,0.4734796968271983,0.3616666524070646,281.1746366,,
MD2G-Cast,FROZEN_LIVE_COMMAND153,redandblack,wifi,60,152,0.7801748633184028,0.7639974401548452,0.8908333108120041,0.9826995073248016,0.1078494877570508,0.8908333108120041,21.1872426,,
Heuristic,FROZEN_LIVE_COMMAND153,redandblack,wifi,60,152,0.589632621247007,0.5831577011857183,0.573333318985666,0.9825305194224297,0.04316613374192471,0.573333318985666,27.746455466666667,,
Clustering,FROZEN_LIVE_COMMAND153,redandblack,wifi,60,152,0.6895361194250789,0.6752854822747151,0.7399998683752388,0.9821447935997425,0.09500424766909196,0.7399998683752388,27.220712666666667,,
MoQ Unicast,FROZEN_LIVE_COMMAND153,redandblack,wifi,60,152,0.21274998939861153,0.14348530061521228,0.3545833156643526,0.0,0.4617645918893284,0.3545833156643526,231.01260193333334,,
MD2G-Cast,FROZEN_LIVE_COMMAND153,redandblack,wifi,60,153,0.7706493925132722,0.7539398469330779,0.8749999416961692,0.9825977099822829,0.11139697053462884,0.8749999416961692,24.440139733333332,,
Heuristic,FROZEN_LIVE_COMMAND153,redandblack,wifi,60,153,0.5871469514502297,0.5806241563235774,0.5691666536482469,0.982587837045126,0.04348530084434846,0.5691666536482469,23.791568533333333,,
Clustering,FROZEN_LIVE_COMMAND153,redandblack,wifi,60,153,0.7100003591196947,0.6957775938062075,0.7741665251249614,0.9820017761788714,0.09481843542324836,0.7741665251249614,23.906308466666665,,
MoQ Unicast,FROZEN_LIVE_COMMAND153,redandblack,wifi,60,153,0.2282499890630717,0.15989381631960187,0.38041664843845285,0.0,0.4557078182897989,0.38041664843845285,289.1847622,,
MD2G-Cast,FROZEN_LIVE_COMMAND153,redandblack,wifi,100,151,0.7851682273491457,0.7723822580225613,0.8962499783494426,0.9896729613579205,0.08523979551056218,0.8962499783494426,18.3001054,,
Heuristic,FROZEN_LIVE_COMMAND153,redandblack,wifi,100,151,0.5015954817670154,0.4950545679856075,0.4239999861603389,0.9887819602832482,0.04360609187605294,0.4239999861603389,10.8342512,,
Clustering,FROZEN_LIVE_COMMAND153,redandblack,wifi,100,151,0.6746321826411033,0.6605449838384854,0.711999985535441,0.9897287652793546,0.09391465868411886,0.711999985535441,17.165119866666668,,
MoQ Unicast,FROZEN_LIVE_COMMAND153,redandblack,wifi,100,151,0.176399998529082,0.12146315440669059,0.29399999754847,0.0,0.36624562748260947,0.29399999754847,307.2579561333333,,
MD2G-Cast,FROZEN_LIVE_COMMAND153,redandblack,wifi,100,152,0.7941478045580848,0.7802195490255264,0.9112499541437216,0.9895913282874071,0.09285503688372274,0.9112499541437216,14.2758888,,
Heuristic,FROZEN_LIVE_COMMAND153,redandblack,wifi,100,152,0.4962720302870034,0.4897719477630452,0.4149999871865354,0.9890881519003287,0.043333883493054434,0.4149999871865354,8.985417533333333,,
Clustering,FROZEN_LIVE_COMMAND153,redandblack,wifi,100,152,0.662129935188721,0.6481510984140857,0.6912499832314375,0.9895197809994339,0.09319224516423506,0.6912499832314375,10.760571533333334,,
MoQ Unicast,FROZEN_LIVE_COMMAND153,redandblack,wifi,100,152,0.176399998529082,0.11445027611167174,0.29399999754847,0.0,0.4129981494494017,0.29399999754847,250.6666344,,
MD2G-Cast,FROZEN_LIVE_COMMAND153,redandblack,wifi,100,153,0.7759961143373979,0.7619141724566124,0.8809999690941845,0.9895845315235491,0.09387961253856969,0.8809999690941845,16.723834,,
Heuristic,FROZEN_LIVE_COMMAND153,redandblack,wifi,100,153,0.512838909705004,0.5062895246359915,0.44249998716281785,0.989355669629253,0.043662567126749645,0.44249998716281785,24.8799876,,
Clustering,FROZEN_LIVE_COMMAND153,redandblack,wifi,100,153,0.6528138271764387,0.638494504153555,0.6757499894251161,0.9894553340854759,0.09546215348589127,0.6757499894251161,14.7984818,,
MoQ Unicast,FROZEN_LIVE_COMMAND153,redandblack,wifi,100,153,0.17459999854409136,0.11706934029756377,0.2909999975734856,0.0,0.38353772164351724,0.2909999975734856,309.6244203333333,,
MD2G-Cast,FROZEN_LIVE_COMMAND153,redandblack,fiber_optic,20,151,0.5158420943763591,0.5091834507811176,0.46499998185533536,0.9473684210526316,0.04439095730160957,0.46499998185533536,53.37306133333333,,
Heuristic,FROZEN_LIVE_COMMAND153,redandblack,fiber_optic,20,151,0.67375061179241,0.6625428490828175,0.7274999924210743,0.9490024653590617,0.07471841806395012,0.7274999924210743,54.979929,,
Clustering,FROZEN_LIVE_COMMAND153,redandblack,fiber_optic,20,151,0.7091443196254862,0.6949950783516317,0.7874998768174105,0.9465775741401596,0.0943282751590299,0.7874998768174105,74.4828272,,
MoQ Unicast,FROZEN_LIVE_COMMAND153,redandblack,fiber_optic,20,151,0.4379999431007357,0.36503763499131736,0.7299999051678928,0.0,0.4864153873961225,0.7299999051678928,487.3673798666667,,
MD2G-Cast,FROZEN_LIVE_COMMAND153,redandblack,fiber_optic,20,152,0.5187545180625577,0.5120831471862486,0.4699999826062674,0.9470181139951888,0.04447580584206043,0.4699999826062674,53.3080918,,
Heuristic,FROZEN_LIVE_COMMAND153,redandblack,fiber_optic,20,152,0.6157048894448462,0.6044353363746644,0.6324999927390611,0.9448195752056383,0.07513035380121247,0.6324999927390611,54.3484848,,
